chromosome,density_SNP
MT,6.736071573810492
22,2489.1594326241134
20,2636.9564068137956
13,2662.143466932757
10,2690.8744088072813
6,2700.034073839829
21,2780.708892867801
18,2788.679203460727
11,2808.7614858667557
12,2834.716732095491
14,2856.510383542086
15,2902.3325
8,2969.1848013816925
16,2985.882255444691
17,3036.6629196642684
7,3121.2508780535663
3,3125.1760606778857
2,3142.1157655211646
19,3174.674796309286
5,3225.1437012442207
1,3239.371699020921
9,3281.8986711350044
4,3469.6948216005962
X,5966.640750567155
Y,31927.018686296717
